Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
399;Berlin-Alexanderplatz;R1;11.03.1998-12:00;12.03.1998-07:00;19;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;06.05.1998-16:00;06.05.1998-17:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;12.05.1998-08:00;12.05.1998-10:00;2;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;29.05.1998-03:00;29.05.1998-10:00;7;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;06.06.1998-06:00;06.06.1998-07:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;29.06.1998-07:00;29.06.1998-08:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;12.08.1998-18:00;17.08.1998-08:00;110;;eor;                                                                                                                                
399;Berlin-Alexanderplatz;R1;26.08.1998-11:00;26.08.1998-13:00;2;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;29.09.1998-08:00;29.09.1998-10:00;2;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;13.10.1998-07:00;14.10.1998-10:00;27;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;15.10.1998-19:00;16.10.1998-04:00;9;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;22.10.1998-16:00;22.10.1998-19:00;3;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;23.10.1998-02:00;23.10.1998-07:00;5;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;29.01.1999-06:00;29.01.1999-09:00;3;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;08.02.1999-09:00;08.02.1999-21:00;12;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;28.04.1999-08:00;28.04.1999-15:00;7;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;13.10.1999-00:00;13.10.1999-03:00;3;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;04.12.2000-16:00;05.12.2000-03:00;11;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;05.12.2000-23:00;06.12.2000-02:00;3;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;29.03.2001-08:00;29.03.2001-09:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;01.04.2001-00:00;02.04.2001-23:00;47;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;03.04.2001-01:00;03.04.2001-04:00;3;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;04.04.2001-03:00;04.04.2001-04:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;04.04.2001-16:00;09.04.2001-04:00;108;;eor;                                                                                                                                
399;Berlin-Alexanderplatz;R1;14.04.2001-13:00;15.04.2001-05:00;16;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;15.04.2001-07:00;16.04.2001-00:00;17;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;21.04.2001-14:00;21.04.2001-17:00;3;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;21.04.2001-19:00;21.04.2001-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;22.04.2001-01:00;22.04.2001-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;22.04.2001-07:00;22.04.2001-11:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;22.04.2001-13:00;22.04.2001-23:00;10;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;23.04.2001-01:00;23.04.2001-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;23.04.2001-07:00;23.04.2001-11:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;11.05.2001-15:00;11.05.2001-16:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;10.06.2001-01:00;10.06.2001-04:00;3;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;09.07.2001-13:00;09.07.2001-17:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;09.07.2001-19:00;09.07.2001-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;10.07.2001-01:00;10.07.2001-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;10.07.2001-07:00;10.07.2001-11:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;10.07.2001-13:00;10.07.2001-23:00;10;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;11.07.2001-01:00;11.07.2001-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;11.07.2001-07:00;11.07.2001-11:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;11.07.2001-13:00;11.07.2001-17:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;11.07.2001-19:00;11.07.2001-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;12.07.2001-01:00;12.07.2001-07:00;6;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;31.08.2001-22:00;31.08.2001-23:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;01.09.2001-01:00;01.09.2001-11:00;10;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;01.09.2001-19:00;01.09.2001-20:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;20.10.2001-14:00;20.10.2001-17:00;3;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;20.10.2001-19:00;20.10.2001-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;30.10.2001-13:00;30.10.2001-17:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;30.10.2001-19:00;30.10.2001-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;31.10.2001-01:00;31.10.2001-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;31.10.2001-07:00;31.10.2001-11:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;31.10.2001-13:00;31.10.2001-23:00;10;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;01.11.2001-01:00;01.11.2001-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;01.11.2001-07:00;01.11.2001-11:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;01.11.2001-13:00;01.11.2001-23:00;10;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;02.11.2001-01:00;02.11.2001-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;02.11.2001-07:00;02.11.2001-11:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;02.11.2001-13:00;02.11.2001-17:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;02.11.2001-19:00;02.11.2001-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;03.11.2001-01:00;03.11.2001-11:00;10;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;03.11.2001-13:00;03.11.2001-17:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;03.11.2001-19:00;03.11.2001-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;04.11.2001-01:00;04.11.2001-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;04.11.2001-07:00;04.11.2001-11:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;04.11.2001-13:00;04.11.2001-23:00;10;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;05.11.2001-01:00;05.11.2001-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;03.02.2002-20:00;03.02.2002-23:00;3;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;04.02.2002-01:00;04.02.2002-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;04.02.2002-07:00;04.02.2002-11:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;04.02.2002-13:00;04.02.2002-17:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;04.02.2002-19:00;04.02.2002-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;05.02.2002-01:00;05.02.2002-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;27.03.2002-01:00;27.03.2002-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;27.03.2002-07:00;27.03.2002-08:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;16.05.2002-03:00;16.05.2002-05:00;2;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;16.05.2002-07:00;16.05.2002-11:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;07.06.2002-11:00;21.06.2002-05:00;330;;eor;                                                                                                                                
399;Berlin-Alexanderplatz;R1;21.06.2002-07:00;31.07.2002-12:00;965;;eor;                                                                                                                                
399;Berlin-Alexanderplatz;R1;08.08.2002-03:00;08.08.2002-04:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;13.09.2002-19:00;13.09.2002-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;14.09.2002-01:00;14.09.2002-03:00;2;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;25.10.2002-20:00;29.10.2002-04:00;80;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;22.11.2002-22:00;22.11.2002-23:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;20.12.2002-14:00;20.12.2002-17:00;3;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;09.01.2003-08:00;09.01.2003-09:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;22.07.2003-07:00;22.07.2003-16:00;9;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;07.11.2003-01:00;07.11.2003-03:00;2;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;05.01.2004-20:00;05.01.2004-23:00;3;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;01.03.2004-00:00;01.03.2004-02:00;2;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;17.05.2004-01:00;17.05.2004-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;28.11.2004-01:00;28.11.2004-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;28.11.2004-07:00;28.11.2004-11:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;28.11.2004-13:00;28.11.2004-17:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;28.11.2004-19:00;28.11.2004-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;29.11.2004-01:00;29.11.2004-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;03.03.2005-09:00;03.03.2005-10:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;25.06.2005-15:00;25.06.2005-16:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;05.07.2005-07:00;05.07.2005-12:00;5;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;05.07.2005-14:00;06.07.2005-17:00;27;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;06.07.2005-19:00;06.07.2005-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;07.07.2005-01:00;07.07.2005-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;21.07.2005-11:00;22.07.2005-05:00;18;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;22.10.2005-21:00;22.10.2005-23:00;2;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;23.10.2005-01:00;23.10.2005-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;23.10.2005-07:00;23.10.2005-11:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;23.10.2005-13:00;23.10.2005-17:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;23.10.2005-19:00;23.10.2005-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;24.10.2005-01:00;24.10.2005-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;24.10.2005-10:00;24.10.2005-11:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;24.10.2005-13:00;24.10.2005-17:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;24.10.2005-19:00;24.10.2005-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;25.10.2005-01:00;25.10.2005-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;25.10.2005-07:00;25.10.2005-08:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;25.10.2005-14:00;25.10.2005-17:00;3;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;25.10.2005-19:00;25.10.2005-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;26.10.2005-01:00;26.10.2005-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;15.12.2005-08:00;15.12.2005-11:00;3;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;15.12.2005-14:00;15.12.2005-17:00;3;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;15.12.2005-19:00;15.12.2005-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;16.12.2005-01:00;16.12.2005-04:00;3;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;16.12.2005-07:00;16.12.2005-11:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;16.12.2005-13:00;16.12.2005-17:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;16.12.2005-19:00;16.12.2005-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;17.12.2005-01:00;17.12.2005-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;17.12.2005-07:00;17.12.2005-11:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;17.12.2005-13:00;17.12.2005-17:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;17.12.2005-19:00;17.12.2005-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;18.12.2005-01:00;18.12.2005-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;18.12.2005-07:00;18.12.2005-11:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;18.12.2005-13:00;18.12.2005-17:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;18.12.2005-19:00;18.12.2005-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;19.12.2005-01:00;19.12.2005-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;20.12.2005-11:00;21.12.2005-05:00;18;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;12.01.2006-02:00;12.01.2006-05:00;3;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;12.01.2006-07:00;12.01.2006-11:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;12.01.2006-13:00;12.01.2006-17:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;12.01.2006-19:00;12.01.2006-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;13.01.2006-01:00;13.01.2006-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;13.01.2006-07:00;13.01.2006-08:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;17.01.2006-11:00;17.01.2006-17:00;6;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;07.02.2006-10:00;07.02.2006-11:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;09.02.2006-01:00;09.02.2006-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;24.03.2006-14:00;24.03.2006-17:00;3;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;24.03.2006-19:00;24.03.2006-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;25.03.2006-01:00;25.03.2006-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;25.03.2006-07:00;25.03.2006-11:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;25.03.2006-13:00;25.03.2006-17:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;25.03.2006-19:00;25.03.2006-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;26.03.2006-01:00;26.03.2006-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;26.03.2006-07:00;26.03.2006-11:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;26.03.2006-13:00;26.03.2006-17:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;26.03.2006-19:00;26.03.2006-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;27.03.2006-01:00;27.03.2006-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;27.03.2006-07:00;27.03.2006-11:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;27.03.2006-13:00;27.03.2006-17:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;27.03.2006-19:00;27.03.2006-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;28.03.2006-01:00;28.03.2006-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;28.03.2006-09:00;28.03.2006-11:00;2;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;28.03.2006-13:00;28.03.2006-17:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;28.03.2006-19:00;28.03.2006-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;29.03.2006-01:00;29.03.2006-03:00;2;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;29.03.2006-16:00;29.03.2006-17:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;29.03.2006-19:00;29.03.2006-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;30.03.2006-01:00;30.03.2006-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;30.03.2006-07:00;30.03.2006-11:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;30.03.2006-13:00;30.03.2006-17:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;30.03.2006-19:00;30.03.2006-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;31.03.2006-01:00;31.03.2006-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;31.03.2006-07:00;31.03.2006-11:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;31.03.2006-13:00;31.03.2006-17:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;31.03.2006-19:00;31.03.2006-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;01.04.2006-01:00;01.04.2006-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;01.04.2006-07:00;01.04.2006-09:00;2;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;01.04.2006-19:00;01.04.2006-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;02.04.2006-01:00;02.04.2006-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;02.04.2006-07:00;02.04.2006-11:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;02.04.2006-13:00;02.04.2006-17:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;02.04.2006-19:00;02.04.2006-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;03.04.2006-01:00;03.04.2006-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;03.04.2006-07:00;03.04.2006-08:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;27.05.2006-10:00;29.05.2006-12:00;50;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;21.06.2006-09:00;21.06.2006-10:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;08.09.2006-09:00;08.09.2006-10:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;11.09.2006-22:00;12.09.2006-05:00;7;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;12.09.2006-07:00;13.09.2006-05:00;22;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;24.10.2006-10:00;24.10.2006-12:00;2;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;01.02.2007-12:00;02.02.2007-05:00;17;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;02.02.2007-07:00;03.02.2007-05:00;22;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;03.02.2007-07:00;04.02.2007-05:00;22;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;04.02.2007-07:00;05.02.2007-05:00;22;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;05.02.2007-07:00;05.02.2007-10:00;3;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;19.02.2007-01:00;19.02.2007-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;19.02.2007-07:00;19.02.2007-11:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;19.02.2007-13:00;19.02.2007-17:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;19.02.2007-19:00;19.02.2007-23:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;20.02.2007-01:00;20.02.2007-05:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;21.09.2007-04:00;26.09.2007-09:00;125;;eor;                                                                                                                                
399;Berlin-Alexanderplatz;R1;27.11.2007-07:00;27.11.2007-10:00;3;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;05.04.2008-10:00;05.04.2008-13:00;3;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;20.05.2008-07:00;20.05.2008-08:00;1;;eor;                                                                                                                                  
