Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
3791;Oldenburg;R1;24.12.2005-02:00;24.12.2005-03:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;01.02.2006-22:00;02.02.2006-04:00;6;;eor;                                                                                                                                             
3791;Oldenburg;R1;03.02.2006-00:00;03.02.2006-03:00;3;;eor;                                                                                                                                             
3791;Oldenburg;R1;16.03.2006-22:00;17.03.2006-03:00;5;;eor;                                                                                                                                             
3791;Oldenburg;R1;27.03.2006-17:00;29.03.2006-08:00;39;;eor;                                                                                                                                            
3791;Oldenburg;R1;03.04.2006-01:00;03.04.2006-02:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;17.05.2006-22:00;18.05.2006-11:00;13;;eor;                                                                                                                                            
3791;Oldenburg;R1;27.05.2006-12:00;27.05.2006-13:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;27.05.2006-15:00;27.05.2006-21:00;6;;eor;                                                                                                                                             
3791;Oldenburg;R1;28.05.2006-10:00;28.05.2006-11:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;28.05.2006-19:00;28.05.2006-21:00;2;;eor;                                                                                                                                             
3791;Oldenburg;R1;29.05.2006-11:00;01.06.2006-12:00;73;;eor;                                                                                                                                            
3791;Oldenburg;R1;27.07.2006-14:00;31.07.2006-10:00;92;;eor;                                                                                                                                            
3791;Oldenburg;R1;17.08.2006-09:00;17.08.2006-10:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;11.05.2007-11:00;12.05.2007-08:00;21;;eor;                                                                                                                                            
3791;Oldenburg;R1;12.05.2007-10:00;12.05.2007-15:00;5;;eor;                                                                                                                                             
3791;Oldenburg;R1;13.05.2007-21:00;14.05.2007-08:00;11;;eor;                                                                                                                                            
3791;Oldenburg;R1;14.05.2007-11:00;14.05.2007-18:00;7;;eor;                                                                                                                                             
3791;Oldenburg;R1;14.05.2007-21:00;14.05.2007-22:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;15.05.2007-00:00;15.05.2007-01:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;15.05.2007-03:00;15.05.2007-13:00;10;;eor;                                                                                                                                            
3791;Oldenburg;R1;15.05.2007-15:00;15.05.2007-17:00;2;;eor;                                                                                                                                             
3791;Oldenburg;R1;15.05.2007-20:00;15.05.2007-21:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;15.05.2007-23:00;16.05.2007-00:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;16.05.2007-02:00;16.05.2007-12:00;10;;eor;                                                                                                                                            
3791;Oldenburg;R1;10.07.2007-13:00;10.07.2007-18:00;5;;eor;                                                                                                                                             
3791;Oldenburg;R1;10.07.2007-22:00;10.07.2007-23:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;11.07.2007-01:00;11.07.2007-10:00;9;;eor;                                                                                                                                             
3791;Oldenburg;R1;21.08.2007-13:00;23.08.2007-08:00;43;;eor;                                                                                                                                            
3791;Oldenburg;R1;09.10.2007-22:00;10.10.2007-03:00;5;;eor;                                                                                                                                             
3791;Oldenburg;R1;14.11.2008-09:00;14.11.2008-12:00;3;;eor;                                                                                                                                             
3791;Oldenburg;R1;03.12.2008-13:00;03.12.2008-14:00;1;;eor;                                                                                                                                             
3791;Oldenburg;RS_IND;30.09.1998-18:00;30.09.1998-20:00;2;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;30.09.1998-23:00;01.10.1998-00:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;06.10.1998-09:00;06.10.1998-10:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;06.10.1998-23:00;07.10.1998-00:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;11.10.1998-00:00;11.10.1998-01:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;14.10.1998-14:00;14.10.1998-16:00;2;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;17.10.1998-23:00;18.10.1998-00:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;18.10.1998-23:00;19.10.1998-00:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;21.10.1998-23:00;22.10.1998-00:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;22.10.1998-16:00;22.10.1998-19:00;3;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;28.10.1998-10:00;28.10.1998-11:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;16.11.1998-10:00;16.11.1998-12:00;2;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;29.11.1998-12:00;29.11.1998-14:00;2;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;08.12.1998-08:00;08.12.1998-09:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;17.01.1999-09:00;17.01.1999-20:00;11;;eor;                                                                                                                                        
3791;Oldenburg;RS_IND;10.02.1999-06:00;10.02.1999-09:00;3;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;24.02.1999-00:00;24.02.1999-05:00;5;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;24.02.1999-15:00;24.02.1999-18:00;3;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;28.02.1999-00:00;28.02.1999-04:00;4;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;23.04.1999-11:00;24.04.1999-13:00;26;;eor;                                                                                                                                        
3791;Oldenburg;RS_IND;24.04.1999-15:00;27.04.1999-12:00;69;;eor;                                                                                                                                        
3791;Oldenburg;RS_IND;10.05.1999-11:00;10.05.1999-13:00;2;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;28.05.1999-05:00;28.05.1999-06:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;23.06.1999-10:00;23.06.1999-14:00;4;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;07.11.1999-00:00;07.11.1999-03:00;3;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;18.11.1999-10:00;18.11.1999-11:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;18.11.1999-13:00;18.11.1999-14:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;07.03.2000-19:00;08.03.2000-05:00;10;;eor;                                                                                                                                        
3791;Oldenburg;RS_IND;10.03.2000-12:00;10.03.2000-15:00;3;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;25.08.2000-07:00;25.08.2000-14:00;7;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;28.08.2000-13:00;28.08.2000-14:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;01.09.2000-07:00;01.09.2000-14:00;7;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;04.12.2000-16:00;05.12.2000-03:00;11;;eor;                                                                                                                                        
3791;Oldenburg;RS_IND;05.12.2000-23:00;06.12.2000-02:00;3;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;14.01.2001-00:00;14.01.2001-06:00;6;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;14.01.2001-12:00;14.01.2001-18:00;6;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;25.02.2001-15:00;25.02.2001-19:00;4;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;20.03.2001-10:00;20.03.2001-11:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;29.03.2001-07:00;29.03.2001-20:00;13;;eor;                                                                                                                                        
3791;Oldenburg;RS_IND;01.04.2001-00:00;01.04.2001-11:00;11;;eor;                                                                                                                                        
3791;Oldenburg;RS_IND;01.04.2001-13:00;01.04.2001-17:00;4;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;01.04.2001-19:00;01.04.2001-23:00;4;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;02.04.2001-01:00;02.04.2001-05:00;4;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;02.04.2001-07:00;02.04.2001-11:00;4;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;02.04.2001-13:00;02.04.2001-17:00;4;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;02.04.2001-19:00;02.04.2001-23:00;4;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;04.04.2001-15:00;04.04.2001-16:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;06.04.2001-02:00;06.04.2001-05:00;3;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;06.04.2001-18:00;07.04.2001-05:00;11;;eor;                                                                                                                                        
3791;Oldenburg;RS_IND;10.04.2001-08:00;10.04.2001-11:00;3;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;10.04.2001-13:00;10.04.2001-14:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;11.04.2001-04:00;11.04.2001-05:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;08.05.2001-08:00;08.05.2001-09:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;03.08.2001-01:00;03.08.2001-05:00;4;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;03.08.2001-07:00;03.08.2001-09:00;2;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;03.08.2001-11:00;03.08.2001-18:00;7;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;04.08.2001-09:00;04.08.2001-17:00;8;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;05.08.2001-08:00;05.08.2001-09:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;07.08.2001-07:00;07.08.2001-08:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;27.08.2001-07:00;27.08.2001-18:00;11;;eor;                                                                                                                                        
3791;Oldenburg;RS_IND;28.08.2001-06:00;28.08.2001-09:00;3;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;22.07.2002-08:00;22.07.2002-16:00;8;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;23.09.2002-10:00;23.09.2002-12:00;2;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;25.09.2002-14:00;25.09.2002-15:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;26.09.2002-20:00;26.09.2002-23:00;3;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;27.09.2002-06:00;27.09.2002-17:00;11;;eor;                                                                                                                                        
3791;Oldenburg;RS_IND;28.09.2002-13:00;28.09.2002-15:00;2;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;28.09.2002-18:00;29.09.2002-05:00;11;;eor;                                                                                                                                        
3791;Oldenburg;RS_IND;05.10.2002-07:00;05.10.2002-16:00;9;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;05.10.2002-18:00;06.10.2002-02:00;8;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;06.10.2002-04:00;06.10.2002-13:00;9;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;06.10.2002-15:00;06.10.2002-17:00;2;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;07.10.2002-04:00;07.10.2002-11:00;7;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;24.10.2002-07:00;24.10.2002-15:00;8;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;17.12.2003-15:00;19.12.2003-05:00;38;;eor;                                                                                                                                        
3791;Oldenburg;RS_IND;27.11.2004-22:00;27.11.2004-23:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;16.09.2005-06:00;16.09.2005-07:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;16.09.2005-11:00;16.09.2005-12:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;16.09.2005-17:00;16.09.2005-18:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;16.09.2005-20:00;16.09.2005-21:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;03.10.2005-00:00;03.10.2005-02:00;2;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;24.12.2005-02:00;24.12.2005-03:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;01.02.2006-22:00;02.02.2006-04:00;6;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;03.02.2006-00:00;03.02.2006-03:00;3;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;16.03.2006-22:00;17.03.2006-03:00;5;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;27.03.2006-17:00;29.03.2006-08:00;39;;eor;                                                                                                                                        
3791;Oldenburg;RS_IND;03.04.2006-01:00;03.04.2006-02:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;17.05.2006-22:00;18.05.2006-11:00;13;;eor;                                                                                                                                        
3791;Oldenburg;RS_IND;27.05.2006-12:00;27.05.2006-13:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;27.05.2006-15:00;27.05.2006-21:00;6;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;28.05.2006-10:00;28.05.2006-11:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;28.05.2006-19:00;28.05.2006-21:00;2;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;29.05.2006-11:00;01.06.2006-12:00;73;;eor;                                                                                                                                        
3791;Oldenburg;RS_IND;27.07.2006-14:00;31.07.2006-10:00;92;;eor;                                                                                                                                        
3791;Oldenburg;RS_IND;17.08.2006-09:00;17.08.2006-10:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;11.05.2007-11:00;12.05.2007-08:00;21;;eor;                                                                                                                                        
3791;Oldenburg;RS_IND;12.05.2007-10:00;12.05.2007-15:00;5;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;13.05.2007-21:00;14.05.2007-08:00;11;;eor;                                                                                                                                        
3791;Oldenburg;RS_IND;14.05.2007-11:00;14.05.2007-18:00;7;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;14.05.2007-21:00;14.05.2007-22:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;15.05.2007-00:00;15.05.2007-01:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;15.05.2007-03:00;15.05.2007-13:00;10;;eor;                                                                                                                                        
3791;Oldenburg;RS_IND;15.05.2007-15:00;15.05.2007-17:00;2;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;15.05.2007-20:00;15.05.2007-21:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;15.05.2007-23:00;16.05.2007-00:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;16.05.2007-02:00;16.05.2007-12:00;10;;eor;                                                                                                                                        
3791;Oldenburg;RS_IND;10.07.2007-13:00;10.07.2007-18:00;5;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;10.07.2007-22:00;10.07.2007-23:00;1;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;11.07.2007-01:00;11.07.2007-10:00;9;;eor;                                                                                                                                         
3791;Oldenburg;RS_IND;21.08.2007-13:00;23.08.2007-08:00;43;;eor;                                                                                                                                        
